"Account Name","Opportunity Name","Close Date","Created Date","Lead Source","Notes"
"Nyana Hills services","Nyana Hills services  - Bench Essential","16/04/2022","12/04/2022","B2C Marketing","04.12.2022
Spoke to Mwangi who is in need of Bookkeeping for 2021 and also for 2022 going forward.  He has not done his 2021 books. He bought Tax SW but doesn't know how to use.  He is spending too much time on the weekend doing his expenses and is looking for a 3rd party solution.  Discovery Call booked for 4.13.2022 at 5pm CTL with Jeff Law

04.14.20200
Owner committed to the following terms. $0 for April and $299 every month starting in May 2022"
"Guardian Restoration Systems","Guardian Restoration Systems  - Bench","14/04/2022","01/04/2022","High Potential Trials","Bench call 4/1- rescheduled to 4/12
Pricing structure:
Bench Essential $299/month with 20% off the first 6 months
March free
$239/month first 6 months beginning April
$299/month ongoing

Jason LaRosa
Just started Company
5 reps, need to take payments in the field
Sell to auto shops- want to keep payments within 1 system
Headlight restoration system
90% is check, rest is CC
Under $5k/ month CC- will look at reducing rates
Wants to have a system in place for next week
Select $150

Accountant is for quarterly taxes
good profit margins
1099 contractors for commissions
Started expenses on March 10
Started LLC August 10"
"Independent Forming LLC","Independent Forming LLC - Bench Essential + 53 Month CU","14/04/2022","28/01/2022","FreshBooks Trialers","July 2017 - December 2021 catch up (December free apart of trial)
$229x53 mo
Also moving forward with essential plan for $239.20 rate as of April"
"EL TALPENSE CORPORATION","EL TALPENSE CORPORATION  "" - PLUS"" Potential BENCH","13/04/2022","08/04/2022","High Potential Trials","El Talpense is a restaurant located in California Serving Mexican food. two brother run its Pedro & jesus 

Only using FreshBooks for the following:

1. Expenses
2. 0 invoices 
3. 0 estimated"
"Neighborhood","Neighborhood  - Bench Tax","13/04/2022","13/04/2022","B2C Marketing","Per message from Russ Miller, adding one-time payment of $349 for a Bench Tax amendment."
"Proactive Search Partners","Proactive Search Partners  - Bench Catchup","13/04/2022","12/04/2022","High Potential Trials","James is purchasing 18 months of catchup services for Proactive Search Partners. (Jan 2020-June 2021) at $299/month for a total of $5382. Two installments for payments April 12 - $2691
May 12 - $2691

NOTE: James had 2 accounts set up with Bench, the other account - Proactive Healthcare (SYS ID: 6143371) was charged $1995 on April 11 due to a billing issue of missed payments and charged $319.20 but the client had instructed Bench previously to close out this account, and no work has been done. Rather than issuing a full refund, we will just be charging the difference as both businesses are being charged to the same card. 

TO BE CHARGED TODAY: $2691 (1st installment) - $2314.20 (refundable amount for proactive healthcare: $1596 + $399 + $319.20) = $376.80

TO BE CHARGED MAY 12: $2691"
"Emergent Business Technologies LLC","Emergent Business Technologies LLC  - Bench","12/04/2022","29/03/2022","B2C Marketing","- Bench call scheduled for April 5th at 09:45 AM Central time
- Rescheduled for April 8th at 09:30 AM Central
- Rescheduled again for April 11th at 2:00 PM Central
- $2,689.20 for the next 12 months of books covered ($224.10 per month)
+ $224.10 (January 2022) + $224.10 (February 2022)
= $3,137.40"
"Gema Designs LLC","Gema Designs LLC  - Bench Opp","12/04/2022","11/04/2022","B2C Marketing","Client wants to be able to outsource Bookkeeping and Tax filing to bench at $299 per month as she is doing all the work herself. Meeting set up for April 11th. CPA does taxes both personal and company and is not adequate as the business is scaling rapidly. Will be closing at $2339 for 6 months and 299 after. Will look at tax filing services at the end of the year."
"Maintenance Pro LLC","Maintenance Pro LLC  "" - Bench Essential 299 ""","11/04/2022","01/04/2022","","Meeting scheduled 2:15pm - 2:45pm, Friday, April 1, 2022

Customer moving forward with essential . 

January and February 2022 CU = $478.40
Bill Today = $717.60

The Customer gets a  20% off for the first 6 months."
"Michael Kelly","Michael Kelly  "" - Bench Essential Plan""","11/04/2022","31/03/2022","B2C Marketing","Bench Essential for $299 a month. Zoom is scheduled for Wednesday, April 6 at 2pm CST.

Customer does all the bookkeeping himself, taking up a lot of his time and gets behind on his books. He has been looking for a bookkeeper."
"Pixel Pup Co","Pixel Pup Co  - Bench","11/04/2022","30/03/2022","FreshBooks Trialers","Scheduled call with Daniel for 12:30PM EST on Wednesday, April 6th.

Daniel is starting a second business that's going to be volume based, and is hoping to have a bookkeeper on top of his expenses starting from day 1. He's currently operating under a general partnership, but might want to restructure to a LLC or S-Corp.

Biggest value was hands-off service, and monthly reports into financial visibility.

Signed off on a essentials bench plan on the call with Jeff today! :)

Agreed on a monthly payment plan at 239.20/month for the first 6 months, and then 299/month."
"Quality Restoration","Quality Restoration  - Bench Catchup","11/04/2022","07/04/2022","B2C Marketing","$837.20 today ($209.30 x 8 months, Jan 2021- Aug 2021) and then another $837.20 next month, May 7th"
"BCLA Design, LLC","BCLA Design, LLC - Bench Tax","07/04/2022","05/04/2022","High Potential Trials","$1,699 (2020 taxes + 2021 personal taxes)
Breakdown looks like this: $1000 for 2020 taxes + $699 personal taxes"
"Kow Abundant LLC","Kow Abundant LLC  - Bench Tax","07/04/2022","06/04/2022","B2C Marketing","Ted is adding personal bench tax to the account for $69 per month."
"LCPMD, LLC","LCPMD, LLC - Bench Essentials","07/04/2022","06/04/2022","B2C Marketing","Owner is interested in Bench Essentials, he already has a accountant so looking for Bench to do all the leg work and had off end of year reports to his accountant.  Appt Set for 4.07.2022 at 12pm EST"
"PreppComm","PreppComm- Lite + Bench","07/04/2022","06/04/2022","B2B Marketing","Final Bench Pricing:
Essential bookkeeping package + 2 months catch up
$209.30 due today (February CU)
$299/month beginning in May
January/March/April Free

Bench meeting 4/6
$209/month CU Jan/Feb
March Free
Essential Monthly: $239.20 per month for the next 6 months, $299 per month after that
Essential Annual: $2,689.20 for the next 12 months of books covered ($224.10 per month)
Savings: $600 
Historical Bookkeeping: $299 per month

Proposal 2:
$0 this month
$299/month ongoing
March Free
$209.30 Jan + $209.30 Feb CU = $418.60 total CU

Quoted FB at $5 (plus with 80% off 3)

manufacture small portable transceivers
HAM radio market
has a few contractors
manufactures out of the home, trying to expand
supply disruption on components
managing inventory in china
unsure if they will make it through the year
has enough orders to sustain
talking to shopify capital for funding
Shopify recommended FB to help with accounting issues
excess inventory showed as extra profit
MiniMRP manages inventory
2 contractors currently- paid by check
Looking to hire hourly SW developer contractor
Exploring FB v bench for accounting
Wife Sandy is co-owner"
"R.E.A.L. Afterschool Program","Reaching Excellence in Achievers & Leaders - Lite + Bench Essentials","07/04/2022","06/04/2022","FreshBooks Trialers","Likely just a Lite or Plus plan, doesn't need us for invoicing except for occasional donors and investors
Bench Meeting scheduled 4/7 @ 1:30"
"Twisted Pair Technologies, LLC","Twisted Pair Technologies, LLC - Bench Tax","05/04/2022","04/04/2022","B2C Marketing","S-Corp Election, one time charge of $199 as per Jeff Law @ Bench. Ongoing subscription staying the same."
"Travis Marc Media LLC.","Travis Marc Media LLC. - ""Bench CU - 2021""","04/04/2022","04/04/2022","Inbound","Confirmed via email to Travis from Kitt, 12 months x $299/m = $3,588 for last years books includes taxes. Please see attached email."
"FRL Enterprises","FRL Enterprises- BENCH Essential + 2 months Catchup  + FreshBooks Plus","01/04/2022","31/03/2022","B2B Marketing","Jan & Feb: $299 x 2= $598
30% discount: $179.40
Total Historical: $418.60
First Month: $239.20
Total to be billed: $418.60 + $239.20 = $657.80

BENCH CALL BOOKED WITH MAKENZIE
Great call with Derendez he is primarily looking for a way to manage his books wants to be able to reconcile does not know how wants help with it...told him about BENCH loved the idea of it told me he is sold but need to run him through a trial"
"Javier Fuentes Architecture","Javier Fuentes Architecture  "" - Bench Premium","01/04/2022","17/03/2022","B2C Marketing","-Has an Accountant
-Categorizing himself 
-Has problems categorizing expenses & ownership draws
-Bench call for Thursday March 24 @1pm - looking to close Bench Essential"
"PHR Pool Service Repair & Refinish,","PHR Pool Service Repair & Refinish,   - Bench Essential  $299.00","01/04/2022","22/02/2022","B2C Marketing","Spoke to Patrick who needs someone to do his taxes, His wife does taxes but he feels they are not maximizing deductions and they are falling behind.  Bench appt set for 2/28/ at 9:30am CTL/8:30 MTL (Essential Package)

Discovery call moved to 3/14/2022 at 8:30 MTZ per client.

March 21st - Discovery call went well.  He is on board for the $299/month plan, he is just going to review with his wife before closing.  Final Call set for March 28th."
"Travis Marc Media LLC.","Travis Marc Media LLC. - ""Bench Premium + 2 Months CU""","01/04/2022","31/03/2022","Inbound","Spoke to Travis over the phone on March 14 regarding Bench, email correspondence. Met with Kitt on Apr 1 for a meeting, got signed up for Bench."
"Carlita Alexander","Carlita Alexander Design  "" - Bench Premium + CU + Taxfyle""","31/03/2022","29/03/2022","Inbound","Need Past Bookkeeping"
"Sojka & Co, Inc.","Sojka & Co, Inc.- Bench Tax","31/03/2022","31/03/2022","B2C Marketing","customer adding personal bench tax to their account for an extra $69"
"Source for Sustainability, LLC","Source for Sustainability, LLC  - Bench CU","31/03/2022","04/03/2022","B2C Marketing","Clients needs catchup for Jan and Feb 2021"
"beachdog.com","beachdog.com - Bench Revive","30/03/2022","02/03/2022","Drift","Cancelled account for two months, revived Bench, got em billed and active again.

$199 annual deal."
"Cue & A Promotions","Cue & A Promotions  - Bench Retro Catchup (2018-2022) + Essential","30/03/2022","24/03/2022","FreshBooks Trialers","The customer has been struggling for the last couple of years with their books due to a busy schedule and mostly on the road. They faced a penalty for their 2018 from IRS as well and want all of this to be sorted for them. Informed them about Bench and Retro Catch-up they are interested in getting their 2020-2021 catchup and probably 2018

Call scheduled with Mackenzie Welsh for 28.03.22 at 11 AM EST

The customer is interested in 2 years (2018-2020) of Catch-up plus ongoing Essential services from March. 

Catch-up: $249*25 = $6,225 
3 Month Scheduled Payment :
April 22 2022 - $2,075
May 22 2022 -  $2,075
June 22 2022  - $2,075

On-going payment for Essential Plan - $239 with 20% off 6 months (April 22-September 22)  and $299 after that per month.

Due Today: $239.20 + $2,075 = $2314.20

-Customer wants to discuss this with his partner after the call before they sign-up with Bench, currently, the Opp is under Evaluation. Next Follow-up call at 11:00 AM EST, 29.03.22

The customer decided to start with one-year Catch-up as a test and ongoing Essential Services and then based on that one-year test catch up they would like to add 3 more years to Catch-up. 

Next follow-up on Bulk pricing for 48 months of Catch-up at 4:00 PM EST, 29.03.22

Catch-up : Jan 2018 - Feb 2022 | $10,731 
4 payment schedule: $10,731/4 = $2,682.75

2018 Catch-up - $219/monthly = $2682.75
Essential Service Ongoing - $239.20/monthly
DUE TODAY: $2,921.95"
"Denise Feltham, LLC.","Denise Feltham, LLC. - Bench Tax","30/03/2022","30/03/2022","B2C Marketing","Adding Bench tax for $1800 per year. Adding onto current Bench + FB billing package."
"GRAPHITE PAINT AND BODY SHOP LLC","GRAPHITE PAINT AND BODY SHOP LLC  - Bench Premium and CU","30/03/2022","25/03/2022","B2C Marketing","3rd call - Wed Mar 30, 2022 14:30 ? 15:00
2nd call - Mon Mar 28, 2022 14:00 - 14:30
1st call - Thu Mar 24, 2022 14:00 ? 14:30


Buying a new house
Has not filed since 2019
Bookkeeper backed up - not getting what he wants
Stressful
Has a very successful business and is very busy"
"No Tilt Poker Tables","No Tilt Poker Tables  "" - Bench essential + Catch up","30/03/2022","18/03/2022","High Potential Trials","Plan name: Bench Essential Monthly
The plan pricing: $239 until august 2022, $299 thereafter. Historical Bookkeeping w/ 20% discount - $2631.20
Discount info: 20% off first 6 months and 20% off historical bookkeeping
Billing structure: monthly
Email address: Danny@notiltpokertables.com"
"Simple Moving LLC","Simple Moving LLC  Bench Catchup","30/03/2022","07/02/2022","B2C Marketing","Has not processed taxes since 2018
Wants to get it sorted
doesnt have a CPA - Premium plan
$145K/year
Asked Micheal Maher to quote tax filing for the customer for 2018 till date
Call Tuesday, February 8, 2022 at 9am MDT

Retro Team and Pricing call  Wednesday, February 9, 2022 at 3:30pm ET

First catchup went through March 11th, good to close."
"A & K  Home Improvement LLC","A & K  Home Improvement LLC  - Bench","29/03/2022","25/02/2022","FreshBooks Trialers","Bench essentials + possible catch up. Not happy with current accountant because they aren't available to her when she needs them. Doesn't know the cost to do past 12 months of catch up bookkeeping. wants to have a long term solution to have constant insight into financials"
"Custom Home Design and Build","Custom Home- Bench Premium + 1 month catchup + Plus plan with coupon","28/03/2022","25/03/2022","High Potential Trials","Bench Premium plan 20% off for the first 6 months - $399 monthly then after $599 
1 month of catch up at $299 Jan 2022

Bench call with Jeff - they have two businesses originally I was speaking with her bookkeeper who was managing the expenses was finding it very cumbersome with fresh bugs we were able to book in a bench call and we were able to also take them through a trial where we were able to reconcile show them the value so we have signed up their first business the second business may also sign up with Facebook in the future"
"OSC-LA Certified Welders","OSC-LA Certified Welders  "" - Bench TaxFyle""","28/03/2022","25/03/2022","B2C Marketing","Oswaldo opted to add Bench Business and personal taxes to his account."
"Pferidott Goods LLC dba Sister.ly D","Pferidott Goods LLC dba Sister.ly D - Bench CU","25/03/2022","25/03/2022","High Potential Trials","Shonte went for all of 2021 catch-up for Pferidott Goods LLC. $209.30 X 12 months = $2,511.60. Billing today."
"Boxwood","Boxwood  ""Premium potential Bench","23/03/2022","03/03/2022","FreshBooks Trialers","Taken through full Cadence/ She had opened my emails but did not respond to them primarily using FreshBooks for Accounting. With a lot of uncategorized expenses. 
They have a total of 30+K in uncategorized expenses."
"Livewithyourdog","Livewithyourdog  - Lite Plan + Annual Bench Essentials","23/03/2022","04/03/2022","High Potential Trials","Behavioral dog trainer
In home care
Not currently invoicing 
	Venmo/check/cash
Deposit to hold the date and pay the rest on arrival 
New bank - 4 accounts
Wants bench for taxes

Amount Billed : Annual Essential plan with 20% off for 6 months - $2689.20
One month Historical Catch up (January) - $299
February - FREE
Due today - $2988.20"
"Seize the Day Charters","Seize the Day Charters  ""  Bench""","21/03/2022","14/03/2022","B2C Marketing","Spoke to Candice abut Payroll and BKK.
She recently signed up with a payroll provider so that's not a play but interested in BKK.
Discovery call with Jeff on Wed. march 16th at 10:00am.
She has a CPA for filing
$299
Bench Essential $299
Feb. is the free month
$239.20 for the first 6 month + $110 FB
$299 + $110FB= $409 There after"
"Elpajo LLC","Elpajo LLC  -Bench Premium + 1 month CU","18/03/2022","11/03/2022","B2C Marketing","spoke with the customer, he is interested in learning more about Bench services and how they can help him. Currently growing and wanting to offload the books and focus on the business. they are using an accountant now to run the books.  Owner and his partner would like to meet this Friday 6pm  03/11/2022. Meeting is set with Jeff Law.

Pricing call went well. Client closed on bench Premium with 1 month of catch up."
"Fresh Ground Thinking","Fresh Ground Thinking  Bench Catch-Up","18/03/2022","17/03/2022","","Hey Team,

Can we please bill these guys for 3 months of catch-up at 279/month? (Totalling $837)

Thanks,
Anton"
"Ocean Breeze Software, LLC","Ocean Breeze Software, LLC - Bench","17/03/2022","16/03/2022","B2C Marketing","Chris is a one man show and he does not make bookkeeping a priority. He simply doesn?t have the time to stay on top of it and tries to take care of everything every couple of months but usually it slips until the end of the year. At that point he is super far behind at it takes him tons of time to get it sorted and it?s stressful. He knows that he is missing deductions, os wants a professional to take care of it so he doesn?t have to worry. 

Right now he is taking care of it himself on Freshbooks. Once the expenses are entered and the receipts are uploaded he passes the P&L off to his accountant. He doesn?t love that process because he doesn?t want to do and doesn?t know exactly how to do it. 


Call booked march 17th at 2:30 pm with Jeff.

moving forward with 299 charged today and then 299 moving forward. One month of catchup included."
"Rigsby Plumbing and Electrical","Rigsby Plumbing and Electrical  - Bench essential annual + 1 Month Catch up","17/03/2022","10/03/2022","B2C Marketing","Set up a demo for Monday march 14th. User seems highly motivated
User agreed to annual bench
Requested to move to annual FB plan as well"
"ChangeUp","ChangeUp - Bench Opp","16/03/2022","08/03/2022","B2C Marketing","Client is looking to use Bench at $299 for BKK and Accounting."
"EAGLE EYES SECURITY AGENCY (EESA),","EAGLE EYES SECURITY AGENCY (EESA),  - Bench","16/03/2022","01/03/2022","","- Bench call booked for Monday, March 7th at 1:30 pm Central Standard Time and then rescheduled for Tuesday, March 8th at 3:15 pm Central Standard Time
- Follow-up call scheduled for Friday, March 11th at 1:00pm Central Standard Time
- Looking at Premium for tax advisory and potentially historical bookkeeping
- Premium $399.20 for first six months and then $499 after. 
- 299 For January 2021 Historical will be billed two weeks from now!"
"MPH Stenography","MPH Stenography - Bench","16/03/2022","10/03/2022","B2B Marketing","meeting with mackenzie 03/15"
"Designage Inc","Designage Inc- Bench","15/03/2022","15/03/2022","Drift","Bench meeting 3/15
January CU $239.20 (1 month CU with 20% discount)
February $0
March $0
$299/month ongoing starting April

Did not want to do full CU starting in May at this time

A person has requested sales assistance on Pricing Page of FreshBooks website
Sign company- design/install
Based in LA
Using QBO Plus Package- losing his data
65 clients total, only some showing up
some jobs have 30+ line items
Business checking and savings accounts
managing everything himself
2 temp contractors
Has a tax professional
s-corp
Paychex charges $85/month when he runs payroll 
Wants someone to be able to check and verify accounting work. Not sure on expense categorization
Money is tight
Started business in may
Accountant recommended QB desktop"
"Etopolos Design","Etopolos Design  - Bench Catchup (12 months)","15/03/2022","14/03/2022","B2C Marketing","Bench Catchup: $3,588 for 2021 cu - 299 x 12 months"
"Absolute Events By Corrine","Absolute Events By Corrine  "" - Bench Tax""","14/03/2022","11/03/2022","B2C Marketing","Adding Bench tax to this client's billing.She will be moved from Bench essential to Premium for $400/Month. Already has a premium subscription for $50/Month. Her new total is $450/Month"
"Internet Marketing Geeks","Internet Marketing Geeks  "" - Bench","14/03/2022","09/03/2022","B2C Marketing","3/09/22 - Called this customer for a discovery call. I learned she has been spending a lot of time on bookkeeping even though she is an Accountant herself. She would love to save some time and take that off her plate as she would retire early. Has been using the DIY method. Company based in US and Canada. Booked call with Jeff at 10 am est.  3/10/22.


3-10-22 I Had a Bench meeting with Mackenzie Welsh. It looks like Internet Marketing Geeks is a good fit. I went through setting up Bench for Internet Marketing Geeks with Naida and Mackenzie.  Set up a Bench Financial Walkthrough Appointment for 3/11/22.

3-11-22 Bench meeting took place with Jeff Law but the numbers were not accurate and we will need to reschedule another call for Monday 3/14/21, they will redo the numbers and then go over the financial review.

3/14/22 Bench meeting was success.  Sending deal through Docusign."
"RLT Construction","RLT Construction  - Bench Essentials","14/03/2022","13/02/2022","B2C Marketing","Richard loves FB as it allowed him to not have to hire an admin person for his business organization. His expenses take a ton of time, so instead of having someone manage his books, he was interested in a full bookkeeping service, especially one that he could get to with an entry-level pricing option. Rebooked for Monday at 9:30 am with Michael (March 14th)."
"roybalcollc@gmail.com","roybalcollc@gmail.com - Bench","14/03/2022","12/03/2022","FreshBooks Trialers","Bench Essentials Package 
$0, $299 per month moving forward

Meeting with Jeff Law on March 11th, 2022"
"AV SEALS LABOR GROUP LLC","Strategic Event Solutions - Bench + Select","14/03/2022","08/03/2022","Drift","Charlie is starting a new venture. He's so happy with FB and Bench that he wants to start another account for this business.

Set up the meeting for Monday, 3/14, at 9 am est."
"Etopolos Design","Etopolos Design  - Bench","10/03/2022","08/03/2022","B2C Marketing","- Bench call scheduled for tomorrow at 11:30 AM Pacific Time
- Going with Premium at $399.20 for first six months and $499 after (billing starts March 2022)
- Plus $299 of catch up for February (2022)"
"Hero Carpentry, LLC.","Hero Carpentry, LLC.  - Bench","10/03/2022","04/03/2022","High Potential Trials","Bench essentials package
January and March free
February Catch up $299 due today
$299/month ongoing beginning April


Plus with 60 off 6
Started LLC in October, set up business bank account this year
Signed up for Mazuma using a recommendation- paying about $90/month but not sure what he is getting
Likes invoicing feature
Had a question about estimates and payments
Bench call scheduled"
"Medical Device Academy, Inc.","Medical Device Academy, Inc. - Bench","09/03/2022","04/03/2022","B2C Marketing","Reached out to the customer for a discovery call and realized they need a tax service in Vermont, discussed Bench BKK+Tax service to help them with their current process. The customer is very much interested in the BKK+Tax service as that would take some load off his plate. 

Discovery call booked with Mackenzie Welsh at 4:15 PM EST on March 4th, 2022

The customer is also planning to get a Catchup for the last 13 months from Jan 2021-Feb 2022 plus Tax filling for 2021. 

-Customer is going with Premium Bench subs with 20% for the first 6 months which will be $399.20 from Feb 8th - August 8th after that $499 every month
-Customer also need historical catch from Jan 2021 to Jan 2022 and has been offered 30% off and two scheduled payments - 

1st Payment Due March 8th, 2022 - 1255.80
2nd Payment Due March 28th, 2022- $1465.10

Payment Due: $399.20+1255.80 = $1655.00"
"BCPR LLC","BCPR LLC  ""Bench""","04/03/2022","03/02/2022","High Potential Trials","Met with Phu over Zoom and was very interested in bookkeeping with bench and also looking for a software to invoice client through FreshBooks.

Potentially looking to use ACH and Credit. Did see a fit on Select or premium"
"Inreact, Inc.","Inreact, Inc. - Bench Essential","03/03/2022","01/03/2022","Referral","Client signing up for monthly essential package"
"Sean Fitzgerald Consulting, LLC","Sean Fitzgerald Consulting, LLC  - Bench","02/03/2022","25/02/2022","B2C Marketing","Customer has been a year in business. Wants to explore Bench's Tax filing service with BKK. Meeting booked with Bench team on Tuesday."
"Shared Drive, LLC","Shared Drive, LLC - Select100 Yearly- Has Bench","02/03/2022","06/01/2022","B2B Marketing","Shared Drive is an online sales and marketing company that offers turnkey online sales solutions. We serve small to medium size home builders, developers and brokerages across North America. Shared Drive supports the revenue goals of their clients by providing expertise in the areas of online sales and marketing.

Our integrated lead generation teams partner with organizations to help them achieve the results they want without the costs and headaches of staffing internally. By focusing on the entire sales funnel and providing expert talent at each stage, Shared Drive is able to optimize the demand and revenue generation functions of an organization.

The homebuying process has pivoted to digital first and we are here to ensure that no lead is left behind in cyberspace. Through our proven marketing program, highly trained Online Sales Counselors, and a team of expert leadership, we partner with our clients to generate, capture, nurture and convert more leads into sales."
"AGX Marketing LLC","AGX Marketing LLC - Bench","01/03/2022","24/02/2022","B2C Marketing","- Bench call scheduled for Feb 28th at 11:30 EST
- Has no bookkeeper or even a payroll partner and would like to offload these administrative tasks to focus on more productive endeavors
- Standard Essential Package: 0 today, $299 after"
"Lawson Healthcare Group, LLC","Lawson Healthcare Group, LLC - $299 Bench + CU 2021","01/03/2022","15/02/2022","Inbound","Client is paying annual for 2022 price at $2489 (Jan Feb, March Free, April is $97 and May-Dec at $299 each month) Also 2021 CU at $239.20 for 12 months totaling $2870."
"Simple Moving LLC","Simple Moving LLC  Bench Premium","25/02/2022","25/02/2022","B2C Marketing","Split the original Bench + Catchup Opp
This opp is just for the Bench Premium $499/mo

Catchup Opp: https://freshbooks.lightning.force.com/lightning/r/Opportunity/0065a000011XKfkAAG/view

Customer has the $800 off ongoing subscription
Charged him $500 already


Has not processed taxes since 2018
Wants to get it sorted
doesnt have a CPA - Premium plan
$145K/year
Asked Micheal Maher to quote tax filing for the customer for 2018 till date
Call Tuesday, February 8, 2022 at 9am MDT

Retro Team and Pricing call Wednesday, February 9, 2022 at 3:30pm ET"
"Whoosh Agency","Whoosh Agency  "" - Bench Bookkeeping""","24/02/2022","16/02/2022","B2C Marketing","discovery call On Feb. 16th with Jeff at 2:30 PM
$800 Promo

Bench Premium
Monthly option: $0 this month, $198 for March for Bench plus $100 FB. April and beyond $499 per month Bench plus $100 FB"
"ZAMARTZ Consulting LLC","ZAMARTZ Consulting LLC  "" - Bench Tax","22/02/2022","22/02/2022","FreshBooks Trialers","Account adding tax filing add on
1 time charge of $199 (not recurring)"
"Horizon Consulting Group","Horizon Consulting Group  - Bench","21/02/2022","13/01/2022","","Called the customer for an account review and realized a few pain points they are facing currently, one of the major pain points has been BKK so far. Explained to them about BKK and booked a discovery call for them

Call Booked for Tuesday, Jan 18th, 2022 - Jeff Law

The discovery call went well, the customer seems the right fit and has scheduled to meet us back with their partner on 31st Jan at 9:30 AM EST

The customer agreed to go with the Bench Essential Plan - Monthly option: $0 this month, $0 March 2022, $97 for April 2022, $299 per month after that

Waiting on the DocuSign"
"Albertus Magnus Institute, Inc.","Albertus Magnus Institute, Inc. - Bench","17/02/2022","09/02/2022","","customer is a nonprofit looking for more deductions as well as someone knowledgeable who can help with their bookkeeping needs. Currently shopping for a CPA. Would like a call Thursday at 2 PM  02/09/2022 which was booked with Mckenzie at Bench./Thursday call went well. Set another call for Monday  Feb 14th @10AM w Bench rep."
"Anchor Fence & Deck, LLC VENDOR # 8","Anchor Fence & Deck, LLC VENDOR # 8  - Bench","17/02/2022","11/02/2022","B2C Marketing","Call booked for Feb 11th at 2:30 with Kitt - Should be premium with possible full year of catch up. 

Moved to pricing Wed Feb 16th at 4 PM. Looks like Premium + 2021 catch up


They are growing a lot right now and recognize that they need some help with the finances so that they can continue to grow properly. They want to have proper processes in place so that their paperwork is taken care of and they don't have to worry about the admin side of things as much. 

Pauls's wife Pam has been the one taking care of the bookkeeping. When the team buys something she grabs the receipt and manually enters it into FreshBooks. It's time-consuming for her and she is not totally sure what she is doing so not sure if they are maximizing deductions. Then from there they pass off their books to a CPA. 

Tax ?filing. Terrible"" - They passed their 2020 books off to their CPA last year but she still hasn't filed the taxes for them. Paul is super frustrated by this but knows its partly his fault since the books weren't perfectly organized when he passed them over. He thinks that if he gets a process in place from the time he buys something then he won't be in this position going forward. He isn't going to use the same CPA again but that means he needs help filing the 2021 taxes. Premium could be a good fit for him here."
"Bike Teacher","Bike Teacher - Bench","17/02/2022","11/02/2022","B2C Marketing","His wife has been doing the bookkeeping and tax filing the whole time but he is looking to take that off her plate as things grow and get more complicated.

Likely will find a seperate CPA but are quite interesting in the BKK side of things.

Call booked with Kitt for 3 pm on Feb 15.

Discovery call went well, they are leaning towards Premium if they close. Kitt set up a free trial and we will be walking them through it at 3:15 pm EST on Fed 16.

Moving forward with annual Premium subscription."
"Complete Electronic Security","Complete Electronic Security - Plus (Spoke about Bench - said maybe in March)","17/02/2022","16/02/2022","High Potential Trials","Complete Electronic Security 
Access Control Company
Data readers 
Get into a building 
Payroll - little different running for 3 years 
Licenses - 2 months 

Residential ADT alarms 
Uses excel 
Forever"
"Kegler Property Management","Kegler Property Management  - Bench","17/02/2022","14/02/2022","High Potential Trials","meeting with jeff 02/15"
"Atlas Group LTD","Lake Oklawaha RV Resort, LLC - Plus + Bench","17/02/2022","15/02/2022","B2B Marketing","Lake Oklawaha RV Resort, LLC

Sys ID: 7304278
Plus with 60% off 6 months- $10 due today
Bench core bookkeeping package with $800 off discount
$0 due February
$0 due March
$97 due April
$299 ongoing

Bench core bookkeeping for 2 businesses:
The Atlas Agency- Brokerage agency, C-Corp, 2 partners
Lake Oklawaha RV Resort, LLC- Hospitality/management, multi member LLC. Setting up Bench under Recreational Investments LLC

12-15 businesses
Vertically integrated, different structures
Real estate development
Investments/hedge funds
Wants custom reporting to show all companies
Incentive allocation
Bench works for the brokerage only
Would like to hire an accounting firm that FreshBooks has worked with
Signed up 1 business (Atlas Group LTD) on select initially. If this goes well and covers her needs, she will sign up the remaining 12 businesses on Plus or Select.

Atlas Group LTD- Umbrella company
Atlas cottage homes
Atlas development/design- expenses
Atlas agency- real estate brokerage
Luxury home builder- acquired (Atlas custom homes)
Atlas technology/media
Atlas acquisitions/holdings
Atlas custom homes
Atlas financial services
Atlas Recruiting
Atlas transport/logistics
Atlas communities/development
-Atlas capital management- private equity, maybe no account
-Atlas hospitality/management
-Atlas networking

Need 13 total- 1 Select and 12 plus likely
Could have additional Select if needed and if she sees the value
May use Bench for 1-2 of the businesses
All except 1 business have activity
Partnering with custom home builders, may need access to financial reports- could also just send
Spent time looking at balance sheet and Chart of Accounts
Would like to easily account for multiple ownership within each business
Briefly discussed Gusto as well"
"Prime Pixel Media","Prime Pixel Media - Bench Catch Up","17/02/2022","17/02/2022","FreshBooks Trialers","Adding Bench Catch Up for Jan 21-Oct 21
$239.20 x 10 Months = $2392

Bench closing call scheduled 12/23
Yearly essentials plan $299/month

Currently yearly Prem with 70% off 3
Yearly select would be $1080
$150,000/year in transactions- $12,500/month
= $25/month savings on 2.7% WePay or $37.50 on select 200
Likes having an AM
offer services on 12 month contracts
50% is simple recurring
signed up when trial ends in Jan
2 employees- do not need access
need to streamline expenses
payroll through heartland
not too much confidence in expense categorization- needs to save time

BDR:
Process over 100k so they want lower credit card fees
Anytime after noon CST 
Used QB in the past and it does way too much 
Using spreadsheets now 
Digital marketing agency 
Really just looking for more info on select pricing"
